error,num_edges
2509.1425333333336,565
2518.5754,651
2528.0082666666667,569
2537.4411333333337,635
2546.8740000000003,641
2556.306866666667,647
2565.7397333333333,619
2575.1726000000003,528
2584.605466666667,603
2594.0383333333334,478
2603.4712000000004,522
2612.904066666667,590
2622.3369333333335,484
2631.7698,558
2641.202666666667,561
2650.6355333333336,641
2660.0684,583
2669.5012666666667,512
2678.9341333333336,625
2688.367,577
2697.7998666666667,584
2707.2327333333337,479
2716.6656000000003,567
2726.098466666667,467
2735.5313333333334,520
2744.9642000000003,506
2754.397066666667,522
2763.8299333333334,577
2773.2628000000004,488
2782.695666666667,557
2792.1285333333335,506
2801.5614,506
2810.994266666667,604
2820.4271333333336,541
2829.86,527
2839.2928666666667,463
2848.7257333333337,506
2858.1586,470
2867.5914666666667,501
2877.0243333333337,519
2886.4572000000003,485
2895.890066666667,559
2905.3229333333334,499
2914.7558000000004,528
2924.188666666667,502
2933.6215333333334,523
2943.0544000000004,503
2952.487266666667,487
2961.9201333333335,559
2971.353,472
2980.785866666667,498
2990.2187333333336,446
2999.6516,480
3009.0844666666667,466
3018.5173333333337,475
3027.9502,500
3037.3830666666668,503
3046.8159333333338,514
3056.2488000000003,512
3065.681666666667,518
3075.1145333333334,464
3084.5474000000004,508
3093.980266666667,540
3103.4131333333335,460
3112.8460000000005,476
3122.278866666667,433
3131.7117333333335,510
3141.1446,454
3150.577466666667,478
3160.0103333333336,424
3169.4432,411
3178.8760666666667,439
3188.3089333333337,436
3197.7418000000002,476
3207.174666666667,424
3216.607533333334,476
3226.0404000000003,474
3235.473266666667,459
3244.9061333333334,486
3254.3390000000004,388
3263.771866666667,440
3273.2047333333335,369
3282.6376000000005,429
3292.070466666667,429
3301.5033333333336,393
3310.9362,442
3320.369066666667,442
3329.8019333333336,483
3339.2348,409
3348.6676666666667,446
3358.1005333333337,468
3367.5334000000003,431
3376.966266666667,489
3386.399133333334,420
3395.8320000000003,466
3405.264866666667,354
3414.6977333333334,443
3424.1306000000004,377
3433.563466666667,368
3442.9963333333335,403
3452.4292000000005,385
3461.862066666667,437
3471.2949333333336,409
3480.7278,456
3490.160666666667,392
3499.5935333333337,489
3509.0264,367
3518.4592666666667,432
3527.8921333333337,491
3537.3250000000003,426
3546.757866666667,440
3556.190733333334,361
3565.6236000000004,434
3575.056466666667,341
3584.4893333333334,377
3593.9222000000004,462
3603.355066666667,394
3612.7879333333335,403
3622.2208,368
3631.653666666667,434
3641.0865333333336,379
3650.5194,401
3659.952266666667,432
3669.3851333333337,374
3678.818,387
3688.2508666666668,394
3697.6837333333337,443
3707.1166000000003,407
3716.549466666667,321
3725.982333333334,354
3735.4152000000004,341
3744.848066666667,427
3754.2809333333335,340
3763.7138000000004,423
3773.146666666667,342
3782.5795333333335,393
3792.0124,379
3801.445266666667,376
3810.8781333333336,421
3820.311,412
3829.743866666667,385
3839.1767333333337,358
3848.6096000000002,404
3858.0424666666668,388
3867.4753333333338,372
3876.9082000000003,369
3886.341066666667,297
3895.773933333334,386
3905.2068000000004,358
3914.639666666667,408
3924.0725333333335,321
3933.5054000000005,327
3942.938266666667,432
3952.3711333333335,355
3961.804,374
3971.236866666667,382
3980.6697333333336,400
3990.1026,389
3999.535466666667,356
4008.9683333333337,406
4018.4012000000002,349
4027.834066666667,368
4037.266933333334,361
4046.6998000000003,379
4056.132666666667,321
4065.565533333334,302
4074.9984000000004,365
4084.431266666667,279
4093.8641333333335,354
4103.2970000000005,339
4112.729866666667,377
4122.162733333334,366
4131.595600000001,342
4141.028466666667,340
4150.461333333334,330
4159.894200000001,382
4169.327066666667,331
4178.759933333334,385
4188.192800000001,365
4197.625666666667,426
4207.058533333334,342
4216.4914,346
4225.924266666667,330
4235.357133333334,339
4244.79,361
4254.222866666667,307
4263.655733333334,347
4273.0886,315
4282.521466666667,292
4291.954333333334,352
