d,real,null
29500,0.11926049033760751,0.12726920718918397
29600,0.11636116603787318,0.1291729857055274
29700,0.11258840512901387,0.12087380207156917
29800,0.11160578894374826,0.1251201961859895
29900,0.11466281707568571,0.12100932528798683
30000,0.11056251743840452,0.12135781355877513
30100,0.1134861038661701,0.12044787196282791
30200,0.11087792510281076,0.12110612758542803
30300,0.10686254291363896,0.11561421057726437
30400,0.10817269782732644,0.11908618631215515
30500,0.10981039146943579,0.11795037268884515
30600,0.10420583989421713,0.11664031493014101
30700,0.11147234723957639,0.1194475815559356
30800,0.10401174286996713,0.1131167113032816
30900,0.10563730544806085,0.11400083895324449
31000,0.09997209855276407,0.10811525926881999
31100,0.09968095301638907,0.10972217740634378
31200,0.10490944160712336,0.11180665354457746
31300,0.09970521514442032,0.1111613048949695
31400,0.10122159814637342,0.10722467813236101
31500,0.1023861802918734,0.11161950243619115
31600,0.09767932745381097,0.1088638637023652
31700,0.10134290878652967,0.11043851440740861
31800,0.0943675469775454,0.10654706205027266
31900,0.09794621086215471,0.10373334193798199
32000,0.09481639634612352,0.10377206285695847
32100,0.09656326956437349,0.10492723693975671
32200,0.09521672145863913,0.10233938885482882
32300,0.10003275387284219,0.10708270142944726
32400,0.09071609670884233,0.10025491271659515
32500,0.09570196401926413,0.10201671453002485
32600,0.09188067885434231,0.10277177245006615
32700,0.09566557082721726,0.1046755509664096
32800,0.09898948236749845,0.10859281726952986
32900,0.09423410527337353,0.10160369139427576
33000,0.09391869760896729,0.10394630699235262
33100,0.09297247461574855,0.09826723887580265
33200,0.09194133417442044,0.09991287793230293
33300,0.09208690694260793,0.09758316930721822
33400,0.08804726262540487,0.0986931689845439
33500,0.08932102434704547,0.09760252976670647
33600,0.09007315031601422,0.09804136684843986
33700,0.0867856319677799,0.0965506114678455
33800,0.09248723205512356,0.09879642476848118
33900,0.08765906857690488,0.0966151463328063
34000,0.0863003894071549,0.09111677583814656
34100,0.079895187606905,0.08814817204994999
34200,0.07996797399099875,0.08733503275144397
34300,0.08080501740807686,0.09046497370204253
34400,0.08843545667390487,0.0934335774902391
34500,0.08055026506374874,0.08831596269884805
34600,0.07768733395606128,0.08614113774966926
34700,0.08262467701042059,0.0895614855925914
34800,0.08113255613649874,0.0872317769675067
34900,0.08018633314328,0.09095543867574457
35000,0.08534203534992055,0.08734148623794005
35100,0.0771535671393738,0.08983253202542674
35200,0.08273385658656121,0.08862573005065986
35300,0.07957977994249876,0.08625730050659869
35400,0.08056239612776436,0.0880191023200284
35500,0.0818968131694831,0.0873221257784518
35600,0.07659553819465505,0.08766416056274402
35700,0.07839093566896753,0.08499887063986318
35800,0.08109616294445186,0.0880836371849892
35900,0.07737192629165504,0.08207544125713917
36000,0.07307752963012386,0.08072666257945856
36100,0.07340506835854572,0.08066858120099384
36200,0.07458178156806133,0.08394049885450615
36300,0.07843945992503003,0.08245619696040786
36400,0.07482440284837383,0.08186892968926462
36500,0.0705057440588114,0.07830015165693266
36600,0.07693520798709255,0.08367590590816688
36700,0.07140344279596764,0.08159788325642929
36800,0.0770565186272488,0.08051369752508793
36900,0.07022672958645203,0.07968765125358976
37000,0.0746666990161707,0.08089445322835662
37100,0.07038443341865515,0.07622858249169114
37200,0.07034804022660827,0.07959730244264464
37300,0.07512767944876445,0.07792584944016005
37400,0.06851624956024893,0.07511212932786938
37500,0.06736379847876457,0.0728405020812494
37600,0.06437955673092087,0.073782711109677
37700,0.06911067169701454,0.07529282694975961
37800,0.0674244537988427,0.07465393178664774
37900,0.06456152269115524,0.0712335839437256
38000,0.06649036186963958,0.07191120002581394
38100,0.06772773039923331,0.07206608370171985
38200,0.06588380866885835,0.073782711109677
38300,0.06649036186963958,0.07329224613597496
38400,0.06622347846129584,0.07511858281436547
38500,0.07507915519270195,0.07602852441031267
38600,0.06402775587446775,0.07311154851408473
38700,0.06447660524304587,0.06972992159013908
38800,0.06211104775999903,0.07103997934884321
38900,0.06769133720718644,0.07566067568003614
39000,0.07023886065046765,0.07324061824400632
39100,0.06180777115960841,0.0689361427511213
39200,0.06451299843509274,0.07113678164628441
39300,0.06516807589193647,0.07048497951018037
39400,0.06076449965426468,0.07095608402439418
39500,0.0701175500103114,0.07269852537833564
39600,0.05983040772506157,0.06705817818076215
39700,0.06507102737981148,0.06982027040108418
39800,0.06160154307134279,0.06864573585879771
39900,0.0625841592566084,0.06993643315801362
40000,0.06365169288998337,0.06770998031686619
40100,0.06166219839142091,0.06543189958375012
40200,0.05611830213628037,0.06286341195831048
40300,0.05454126381424915,0.06427672550095188
40400,0.06403988693848338,0.06437998128488916
40500,0.053910448485436656,0.06041108708980027
40600,0.05496585105479602,0.06454131844729115
40700,0.05860517025948346,0.061740505307992646
40800,0.059029757500030325,0.06318608628311445
40900,0.055111423822983514,0.06250847020102611
41000,0.05731927747382723,0.06353457455390274
41100,0.05717370470563973,0.06305701655319286
41200,0.06026712602962406,0.06432835339292052
41300,0.05552387999951476,0.06290858636378303
41400,0.05915106814018658,0.06341841179697331
41500,0.05269734208387418,0.05822335516762931
41600,0.05563305957565538,0.061030621793423896
41700,0.05514781701503039,0.0612500403342906
41800,0.055317651911249134,0.05933980833145107
41900,0.05308553613237417,0.0573456810041625
42000,0.05093833780160858,0.056222774353844665
42100,0.053522254436936666,0.06170178438901617
42200,0.05699173874540536,0.06035300571133555
42300,0.0574527191779991,0.06545126004323835
42400,0.05828976259507721,0.05993998257558646
42500,0.05074424077735858,0.055971088380497566
42600,0.04919146458335861,0.05719725081475267
42700,0.05401962806157728,0.05789422735632926
42800,0.053728482525202285,0.06006259881901197
42900,0.05247898293159293,0.05943015714239618
43000,0.05355864762898354,0.05586137911006421
43100,0.052442589739546054,0.05865573876286664
43200,0.05065932332924921,0.05342841470104224
43300,0.04947047905571798,0.055261204865928816
43400,0.05041670204893671,0.05642283243522313
43500,0.051059648441764825,0.05480300732470717
43600,0.04864556670265549,0.05650027427317608
43700,0.05287930804410855,0.05455777483785615
43800,0.04676525178023364,0.05273789164596173
43900,0.04836655223029612,0.05484172824368365
44000,0.050622930137202336,0.054086670323642345
44100,0.05059866800917109,0.05264754283501662
44200,0.047117052636686765,0.05286050788938724
44300,0.04760229519731175,0.0523377754832048
44400,0.04249511724673371,0.04829789293665903
44500,0.04486067472978055,0.048672195153431644
44600,0.04989506629626485,0.05532573973088961
44700,0.0480632756299055,0.052899228808363716
44800,0.048706222022733614,0.051653705914620374
44900,0.04328363640774932,0.04768481171953148
45000,0.04283478703917121,0.049052950856700334
45100,0.046486237307874274,0.051627891968636055
45200,0.04658328581999927,0.05116969442741441
45300,0.04613443645142115,0.04964021812784357
45400,0.046850169228343015,0.05031783420993192
45500,0.04221610277437434,0.04785905585492562
45600,0.044605922385452426,0.04800103255783937
45700,0.04181577766185872,0.047174986286341196
45800,0.04407215556876494,0.04946597399244942
45900,0.04436330110513993,0.047962311638862894
46000,0.04239806873460871,0.048123648801264886
46100,0.045576407506702415,0.04685231196153722
46200,0.040893816796671235,0.04621341679842535
46300,0.04702000412456177,0.053112193862734344
46400,0.044314776849077434,0.04716207931334904
46500,0.041755122341780596,0.04591010293310961
46600,0.03863743888976502,0.04617469587944887
46700,0.04422985940096806,0.04350295247007196
46800,0.03863743888976502,0.04299312703688168
46900,0.03841907973748378,0.044813010228776096
47000,0.041075782756905606,0.04550998677035268
47100,0.04116070020501498,0.04436771966054661
47200,0.04130627297320248,0.04405795230873479
47300,0.04006890444360875,0.046084347068503756
47400,0.0417065980857181,0.04458068471491723
47500,0.03723023546395254,0.04390306863282888
47600,0.04231315128649934,0.04351585944306412
47700,0.03787318185678066,0.044303184795585815
47800,0.042252495966421215,0.04501306831015456
47900,0.03658728907112443,0.041431383304830434
48000,0.038467603993546276,0.040966732277112713
48100,0.03693908992757755,0.04193475525152464
48200,0.03924399209054626,0.04001161627569294
48300,0.033833537539577595,0.0421348133329031
48400,0.038249244841265025,0.04138620889935788
