cbsacode,cityname,cell_width_gravity,r2,alpha,beta_num_neighbors1_log,beta_num_neighbors2_log,beta_distance_beeline_m_log
41740,SanDiego,3000,0.27887580282761926,1.7168966588112475,0.16796182504267193,0.1679618250426717,-0.2198497263733464
41740,SanDiego,4000,0.3419778240359366,2.746794492964725,0.207777740458236,0.20777774045823594,-0.32547404377642
41740,SanDiego,5000,0.3979632082552923,3.5802369393422424,0.27297295711425956,0.2729729571142603,-0.41907129185168474
41740,SanDiego,6000,0.4104323659441512,4.509806898442784,0.31668193907392583,0.3166819390739259,-0.5114077520695028
41740,SanDiego,7000,0.48598535665247455,5.50253988491833,0.3688704254981131,0.36887042549811316,-0.6160336955339785
41740,SanDiego,8000,0.481695220614869,6.047285661779008,0.39356188251204327,0.3935618825120428,-0.6639070359251236
41740,SanDiego,9000,0.4634622475347542,6.005880033115219,0.441584186547331,0.4415841865473308,-0.6656599977156984
41740,SanDiego,10000,0.4988606760857599,6.334890259981706,0.5202205847430847,0.5202205847430853,-0.7132442588836999
41740,SanDiego,11000,0.4892936371726583,6.469238036500184,0.5291009504667639,0.5291009504667636,-0.7146159244619497
41740,SanDiego,12000,0.48418495910337533,7.319025598377418,0.5034367856992886,0.5034367856992888,-0.7729826940324865
41740,SanDiego,13000,0.5445304570914185,8.259609418850891,0.5765277405234922,0.5765277405234914,-0.8887586816198805
41740,SanDiego,14000,0.5750719340969637,7.848211522579777,0.5923051346751866,0.5923051346751871,-0.8407960355413022
41740,SanDiego,15000,0.5068238430218592,8.024174768617053,0.5856323806726065,0.5856323806726065,-0.8454939141097242
41740,SanDiego,16000,0.5068238430218592,8.024174768617053,0.5856323806726065,0.5856323806726065,-0.8454939141097242
41740,SanDiego,17000,0.6132113870670263,9.113234856435644,0.7022262676607421,0.702226267660742,-0.9782048000038847
41740,SanDiego,18000,0.5967866255388652,9.175841700140577,0.8031245774837941,0.8031245774837943,-0.9957503723088974
41740,SanDiego,19000,0.5967866255388652,9.175841700140577,0.8031245774837941,0.8031245774837943,-0.9957503723088974
