;geoid;cbsacode;short_name
327;14000US34013002000;35620.0;New York
328;14000US34013002100;35620.0;New York
329;14000US34013002201;35620.0;New York
330;14000US34013002202;35620.0;New York
331;14000US34013002300;35620.0;New York
332;14000US34013002400;35620.0;New York
333;14000US34013002500;35620.0;New York
334;14000US34013002600;35620.0;New York
335;14000US34013002800;35620.0;New York
336;14000US34013003100;35620.0;New York
337;14000US34013003500;35620.0;New York
338;14000US34013003700;35620.0;New York
339;14000US34013003800;35620.0;New York
340;14000US34013003900;35620.0;New York
341;14000US34013004100;35620.0;New York
342;14000US34013004200;35620.0;New York
343;14000US34013004300;35620.0;New York
344;14000US34013004400;35620.0;New York
345;14000US34013004500;35620.0;New York
346;14000US34013004600;35620.0;New York
347;14000US34013004700;35620.0;New York
348;14000US34013004801;35620.0;New York
349;14000US34013004802;35620.0;New York
350;14000US34013004900;35620.0;New York
351;14000US34013005000;35620.0;New York
352;14000US34013005100;35620.0;New York
353;14000US34013005200;35620.0;New York
354;14000US34013005300;35620.0;New York
355;14000US34013005400;35620.0;New York
356;14000US34013005700;35620.0;New York
357;14000US34013006200;35620.0;New York
358;14000US34013006400;35620.0;New York
359;14000US34013006600;35620.0;New York
360;14000US34013006700;35620.0;New York
361;14000US34013006800;35620.0;New York
362;14000US34013006900;35620.0;New York
363;14000US34013007000;35620.0;New York
364;14000US34013007100;35620.0;New York
365;14000US34013007200;35620.0;New York
366;14000US34013007300;35620.0;New York
367;14000US34013007400;35620.0;New York
368;14000US34013007501;35620.0;New York
369;14000US34013007502;35620.0;New York
370;14000US34013007600;35620.0;New York
371;14000US34013007700;35620.0;New York
372;14000US34013007800;35620.0;New York
373;14000US34013007900;35620.0;New York
374;14000US34013008000;35620.0;New York
375;14000US34013008100;35620.0;New York
376;14000US34013008200;35620.0;New York
377;14000US34013008700;35620.0;New York
378;14000US34013008800;35620.0;New York
379;14000US34013008900;35620.0;New York
380;14000US34013009000;35620.0;New York
381;14000US34013009100;35620.0;New York
382;14000US34013009200;35620.0;New York
383;14000US34013009300;35620.0;New York
384;14000US34013009400;35620.0;New York
385;14000US34013009500;35620.0;New York
386;14000US34013009600;35620.0;New York
387;14000US34013009700;35620.0;New York
388;14000US34013009900;35620.0;New York
389;14000US34017000100;35620.0;New York
390;14000US34017000200;35620.0;New York
391;14000US34017000300;35620.0;New York
392;14000US34017000400;35620.0;New York
393;14000US34017000500;35620.0;New York
394;14000US34017000600;35620.0;New York
395;14000US34017000700;35620.0;New York
396;14000US34017000800;35620.0;New York
397;14000US34017000902;35620.0;New York
398;14000US34017001000;35620.0;New York
399;14000US34017001100;35620.0;New York
400;14000US34017001201;35620.0;New York
401;14000US34017001202;35620.0;New York
402;14000US34017001300;35620.0;New York
403;14000US34017001400;35620.0;New York
404;14000US34017001701;35620.0;New York
405;14000US34017001800;35620.0;New York
406;14000US34017001900;35620.0;New York
407;14000US34017002000;35620.0;New York
408;14000US34017002200;35620.0;New York
409;14000US34017002300;35620.0;New York
410;14000US34017002400;35620.0;New York
411;14000US34017002700;35620.0;New York
412;14000US34017002800;35620.0;New York
413;14000US34017002900;35620.0;New York
414;14000US34017003000;35620.0;New York
415;14000US34017003100;35620.0;New York
416;14000US34017003500;35620.0;New York
417;14000US34017004000;35620.0;New York
418;14000US34017004101;35620.0;New York
419;14000US34017004102;35620.0;New York
420;14000US34017004200;35620.0;New York
421;14000US34017004300;35620.0;New York
422;14000US34017004400;35620.0;New York
423;14000US34017004500;35620.0;New York
424;14000US34017004600;35620.0;New York
425;14000US34017004700;35620.0;New York
426;14000US34017004800;35620.0;New York
427;14000US34017004900;35620.0;New York
428;14000US34017005200;35620.0;New York
429;14000US34017005300;35620.0;New York
430;14000US34017005400;35620.0;New York
431;14000US34017005500;35620.0;New York
432;14000US34017005600;35620.0;New York
433;14000US34017005801;35620.0;New York
434;14000US34017005802;35620.0;New York
435;14000US34017005900;35620.0;New York
436;14000US34017006000;35620.0;New York
437;14000US34017006100;35620.0;New York
438;14000US34017006200;35620.0;New York
439;14000US34017006300;35620.0;New York
440;14000US34017006400;35620.0;New York
441;14000US34017006500;35620.0;New York
442;14000US34017006600;35620.0;New York
443;14000US34017006700;35620.0;New York
444;14000US34017006800;35620.0;New York
445;14000US34017006900;35620.0;New York
446;14000US34017007000;35620.0;New York
447;14000US34017007100;35620.0;New York
448;14000US34017007200;35620.0;New York
449;14000US34017007300;35620.0;New York
450;14000US34017007400;35620.0;New York
451;14000US34017007500;35620.0;New York
452;14000US34017007600;35620.0;New York
453;14000US34017007700;35620.0;New York
454;14000US34017007800;35620.0;New York
455;14000US34017010100;35620.0;New York
456;14000US34017010200;35620.0;New York
457;14000US34017010300;35620.0;New York
458;14000US34017010400;35620.0;New York
459;14000US34017010500;35620.0;New York
460;14000US34017010600;35620.0;New York
461;14000US34017010700;35620.0;New York
462;14000US34017010800;35620.0;New York
463;14000US34017010900;35620.0;New York
464;14000US34017011000;35620.0;New York
465;14000US34017011100;35620.0;New York
466;14000US34017011200;35620.0;New York
467;14000US34017011300;35620.0;New York
468;14000US34017011400;35620.0;New York
469;14000US34017011500;35620.0;New York
470;14000US34017011600;35620.0;New York
471;14000US34017012300;35620.0;New York
472;14000US34017012400;35620.0;New York
473;14000US34017012500;35620.0;New York
474;14000US34017012600;35620.0;New York
